Model,FR_T0,FR_T07,delta_FR_T07_minus_T0,EFI_T0,EFI_T07,delta_EFI_T07_minus_T0
01-ai/Yi-1.5-9B-Chat,0.8136550058866101,0.8297930796241832,0.016138073737573144,0.6365963149465155,0.7632799781317139,0.12668366318519841
Qwen/Qwen2.5-14B-Instruct,0.6748653251040702,0.7066185063614568,0.03175318125738669,0.6385450810917986,0.7070057063160571,0.06846062522425844
deepseek-ai/deepseek-llm-7b-chat,0.9405288891680416,0.9559730195978623,0.015444130429820735,0.6462003076760519,0.7704789542459791,0.12427864656992726
meta-llama/Meta-Llama-3.1-8B-Instruct,0.8515104797143075,0.9333631143199764,0.08185263460566894,0.6514189388437075,0.7722400347325094,0.12082109588880185
mistralai/Mistral-7B-Instruct-v0.3,0.7593528968487515,0.8194654776731144,0.06011258082436288,0.6417125542950002,0.7629662752655031,0.12125372097050291
