scenario,entropy,tvd_from_base,spearman_vs_base,tvd_ci_lower,tvd_ci_upper,tvd_95ci
base,1.842193190349798,0.0,1.0,0.0,0.0,—
competitive_dynamics,1.821122938020678,0.11210814534864312,0.8214285714285715,0.10766971430927012,0.11717324692859943,"[0.1077, 0.1172]"
count_fact,1.7817625227599725,0.10020325120556484,0.642857142857143,0.09576124160650863,0.10469819639138966,"[0.0958, 0.1047]"
opp_focus,1.7029853867594897,0.25499816880866716,0.6785714285714287,0.250484697321614,0.2594825193091319,"[0.2505, 0.2595]"
randomized_numbers,1.8328348168137398,0.020610619391348735,1.0,0.016368377646629288,0.025754709913545296,"[0.0164, 0.0258]"
