distribution,n_pairs,mean,median,std,p25,p75
rds,146565,0.1579,0.1462,0.0895,0.0953,0.2061
noise,5790,0.1069,0.1009,0.0958,0.0,0.1705
ceiling,1702,0.373,0.3635,0.1136,0.2925,0.4503
