scenario,entropy,jsd_from_base,spearman_vs_base,jsd_ci_lower,jsd_ci_upper,jsd_95ci
base,1.8421931903498405,0.0,1.0,0.0,0.0,—
competitive_dynamics,1.821122938020728,0.010730113648561565,0.8214285714285715,0.010058247705166527,0.011465990560030436,"[0.0101, 0.0115]"
count_fact,1.7817625227600435,0.008103345313466286,0.642857142857143,0.007511186734168528,0.008755313533175168,"[0.0075, 0.0088]"
opp_focus,1.7029853867595712,0.04712948503503341,0.6785714285714287,0.0457113441081224,0.04861045197537751,"[0.0457, 0.0486]"
randomized_numbers,1.8328348168137798,0.00023157859920908694,1.0,0.00015238405200687188,0.000369872950274295,"[0.0002, 0.0004]"
