Model,FR_framing_robustness_T0,FR_framing_robustness_T07,FR_framing_robustness_delta_T07_minus_T0,CR_context_responsiveness_T0,CR_context_responsiveness_T07,CR_context_responsiveness_delta_T07_minus_T0,NS_numerical_sensitivity_T0,NS_numerical_sensitivity_T07,NS_numerical_sensitivity_delta_T07_minus_T0,DS_decision_stability_T0,DS_decision_stability_T07,DS_decision_stability_delta_T07_minus_T0,EFI_explanatory_framing_invariance_T0,EFI_explanatory_framing_invariance_T07,EFI_explanatory_framing_invariance_delta_T07_minus_T0
01-ai/Yi-1.5-9B-Chat,0.8136550058866101,0.8297930796241832,0.016138073737573144,0.07962157609258518,0.06905446611919137,-0.010567109973393801,0.08028412770536171,0.04299059970783678,-0.03729352799752493,0.8552034991809913,0.6943302841628404,-0.16087321501815088,0.6365963149465155,0.7632799781317139,0.12668366318519841
Qwen/Qwen2.5-14B-Instruct,0.6748653251040702,0.7066185063614568,0.03175318125738669,0.14849254514179555,0.13401837035153022,-0.014474174790265332,0.027849862500134777,0.01512475938088074,-0.012725103119254037,0.8931741239735919,0.8600078597919075,-0.033166264181684335,0.6385450810917986,0.7070057063160571,0.06846062522425844
deepseek-ai/deepseek-llm-7b-chat,0.9405288891680416,0.9559730195978623,0.015444130429820735,0.11383504737230349,0.05815815299236815,-0.05567689437993534,0.12486057383719809,0.04348250386970155,-0.08137806996749654,0.9014843923015271,0.6422970417729224,-0.25918735052860475,0.6462003076760519,0.7704789542459791,0.12427864656992726
meta-llama/Meta-Llama-3.1-8B-Instruct,0.8515104797143075,0.9333631143199764,0.08185263460566894,0.17495719282001573,0.12059524098068397,-0.05436195183933176,0.026297374441216922,0.023184792179074848,-0.0031125822621420746,0.8759172314800895,0.7273240085382664,-0.1485932229418231,0.6514189388437075,0.7722400347325094,0.12082109588880185
mistralai/Mistral-7B-Instruct-v0.3,0.7593528968487515,0.8194654776731144,0.06011258082436288,0.13253672517626433,0.10780543938382971,-0.024731285792434624,0.03355502248131049,0.025020391790906985,-0.008534630690403503,0.9177992563859689,0.8336135458201148,-0.08418571056585411,0.6417125542950002,0.7629662752655031,0.12125372097050291
