Model,Temperature,scenario,dev_from_avg_profile_L2,rank_within_model_temp,FR_scenario,CR_scenario,DS_scenario,FR_scenario_scaled,CR_scenario_scaled,DS_scenario_scaled,FR_scenario_baseline_scaled,CR_scenario_baseline_scaled,DS_scenario_baseline_scaled
Qwen/Qwen2.5-14B-Instruct,0.7,2_roadster_launch,0.35128572136347386,3,0.9701205828923745,0.034546336613907616,0.9816914449736632,0.9674624795463274,0.07489165962590558,0.9669297534224468,0.8453940643730646,0.12224347716230854,0.6409561878884554
Qwen/Qwen2.5-14B-Instruct,0.7,6_energy_infra,0.26324944476574696,4,0.9394952944265158,0.2086783149829415,0.9388850271802806,0.9341127342595228,0.4523856034772255,0.8896096811219081,0.9452172643606295,0.26298368389676,0.707116195101331
Qwen/Qwen2.5-14B-Instruct,0.7,1_founder_period,0.15883582140404087,5,0.7646352633013678,0.11039238247320601,0.9412388306579146,0.7436969768580065,0.23931535276443242,0.8938612925496706,0.8526357814419934,0.25534894040671147,0.7793882429518476
Qwen/Qwen2.5-14B-Instruct,0.7,3_model_s_launch,0.12660631740038383,6,0.8133456369676866,0.07934615583111738,0.8998785841778936,0.7967406749249745,0.17201144542590477,0.8191534002976425,0.8217983117525843,0.06926681757255009,0.8887581119885761
deepseek-ai/deepseek-llm-7b-chat,0.0,4_model_x_launch,0.5148415502634025,1,0.9817238204974925,0.02014363084303535,0.9999999999117195,0.9800979529742544,0.043668593911609446,0.9999999999999994,0.7916795202219633,0.5226500886732031,0.9882934312139142
deepseek-ai/deepseek-llm-7b-chat,0.0,2_roadster_launch,0.4138427923254858,2,0.9305869265510192,0.2884478137126404,0.9647120146991063,0.9244118689141999,0.6253147975090083,0.936260268702012,0.7479916780152689,0.2526388342093078,0.971677769765472
deepseek-ai/deepseek-llm-7b-chat,0.0,3_model_s_launch,0.2433945462660633,3,1.0,0.0,0.9999999999117198,1.0,0.0,1.0,0.7738565034184205,0.08998182967790622,0.9981849424978122
deepseek-ai/deepseek-llm-7b-chat,0.0,5_model_3_mass_market,0.1716822604173266,4,0.8874648204663322,0.04578745647490881,0.9799531524676738,0.8774535763985852,0.09926084620139883,0.9637899227808984,0.7080307757808698,0.09906646656333115,0.9915509636369055
deepseek-ai/deepseek-llm-7b-chat,0.0,1_founder_period,0.14082416768660622,5,0.9563495312883572,0.13325586258251448,0.9971289616623119,0.9524663411805645,0.2888802021244848,0.9948141214223221,0.8185352094786118,0.3320789833575648,0.989545016599292
deepseek-ai/deepseek-llm-7b-chat,0.0,6_energy_infra,0.06618474122024055,6,0.8926142015233137,0.16484018506217687,0.9442478438147515,0.8830610516335198,0.35735062650254906,0.8992963914631766,0.8851472811376662,0.3383378291437863,0.9626571139451754
deepseek-ai/deepseek-llm-7b-chat,0.7,2_roadster_launch,0.6517384071114977,1,0.9664016631692613,0.05782661975306487,0.44637380014568073,0.9634127209409133,0.12536008006474825,0.0,0.8453940643730646,0.12224347716230854,0.6409561878884554
deepseek-ai/deepseek-llm-7b-chat,0.7,5_model_3_mass_market,0.467113040486276,2,0.9322008927567029,0.04706471484328323,0.6554647835744221,0.9261694151956356,0.10202976494516303,0.37767537648525773,0.7157419661575702,0.06183251073440614,0.7927645982648428
deepseek-ai/deepseek-llm-7b-chat,0.7,4_model_x_launch,0.4499111355161228,3,0.9770318787394131,0.029631062889237943,0.6993835538907222,0.9749886113036638,0.06423602887494706,0.4570046610004415,0.823320540345774,0.45624064186406466,0.6174702632601521
deepseek-ai/deepseek-llm-7b-chat,0.7,3_model_s_launch,0.20546815704303528,4,0.9939686283045241,0.006523212666507545,0.9929961966187107,0.9934320713420087,0.014141419049648394,0.9873492199322054,0.8217983117525843,0.06926681757255009,0.8887581119885761
