context_variant,mean_rds,median_rds,n_pairs
base,0.15773794399144264,0.14813446998596191,28429
competitive_dynamics,0.1537890838989388,0.13841396570205688,27157
count_fact,0.16164556727082724,0.1551755666732788,31693
opp_focus,0.1589314273523907,0.14473417401313782,29942
randomized_numbers,0.15667274475885776,0.1441364586353302,29344
